,Age,Workclass,Education-Num,Marital Status,Occupation,Relationship,Capital Gain,Capital Loss,Hours per week,Country,Race,Sex,Loan
0,57,4,13.0,2,10,4,3103.0,0.0,40.0,39,4,1,True
1,23,4,10.0,4,7,3,0.0,0.0,25.0,39,4,1,False
2,50,2,14.0,0,10,0,0.0,0.0,45.0,39,4,0,False
3,48,4,16.0,2,10,4,0.0,0.0,40.0,39,4,1,True
4,32,6,13.0,2,12,4,0.0,0.0,47.0,39,4,1,False
5,47,4,14.0,2,12,4,0.0,0.0,40.0,39,4,1,True
6,38,6,13.0,2,10,4,0.0,0.0,70.0,39,4,1,False
7,30,4,11.0,3,1,0,0.0,0.0,40.0,39,4,0,False
8,44,4,6.0,5,7,1,0.0,0.0,40.0,39,2,0,False
9,22,4,9.0,4,12,3,0.0,0.0,40.0,39,2,0,False
10,42,0,9.0,5,0,1,0.0,0.0,40.0,39,4,1,False
11,32,4,13.0,2,6,4,0.0,0.0,40.0,39,1,1,False
12,45,4,4.0,5,8,1,0.0,0.0,40.0,26,4,0,False
13,44,4,9.0,2,14,4,0.0,0.0,50.0,39,4,1,True
14,37,5,13.0,4,4,3,0.0,0.0,40.0,39,4,1,False
15,23,4,11.0,4,8,3,0.0,0.0,20.0,39,4,1,False
16,63,6,11.0,2,5,4,0.0,0.0,40.0,39,4,1,False
17,23,2,9.0,4,14,3,0.0,0.0,40.0,39,4,1,False
18,27,4,11.0,4,7,1,0.0,0.0,45.0,39,4,1,False
19,49,4,14.0,2,4,4,15024.0,0.0,50.0,39,4,1,True
20,57,4,9.0,0,3,0,0.0,0.0,40.0,39,4,1,False
21,24,4,9.0,4,14,3,0.0,0.0,50.0,39,4,1,False
22,46,1,10.0,5,1,1,0.0,0.0,40.0,39,4,0,False
23,20,4,6.0,4,6,3,0.0,0.0,40.0,39,4,1,False
24,22,4,10.0,4,8,0,0.0,1602.0,10.0,39,4,1,False
25,39,4,10.0,2,8,4,0.0,0.0,84.0,39,1,1,True
26,50,7,9.0,2,3,4,0.0,0.0,40.0,39,2,1,True
27,41,5,15.0,2,4,5,0.0,2415.0,55.0,39,4,0,True
28,27,4,12.0,2,1,4,0.0,0.0,40.0,39,4,1,True
29,49,4,4.0,2,7,4,0.0,0.0,40.0,39,4,1,False
30,23,4,9.0,4,12,3,0.0,0.0,40.0,39,4,1,False
31,40,6,9.0,2,5,4,0.0,0.0,50.0,39,4,1,False
32,47,4,10.0,4,8,3,0.0,0.0,40.0,39,4,1,False
33,25,4,13.0,4,10,0,0.0,1741.0,40.0,39,4,1,False
34,25,4,9.0,4,6,3,0.0,0.0,23.0,39,2,1,False
35,30,4,13.0,4,10,0,0.0,0.0,60.0,28,4,0,False
36,36,4,9.0,2,4,4,0.0,0.0,50.0,39,4,1,True
37,48,4,14.0,0,12,0,0.0,0.0,35.0,39,4,1,False
38,52,2,9.0,0,1,1,0.0,0.0,40.0,39,2,0,False
39,26,4,9.0,4,3,0,0.0,0.0,40.0,39,4,1,False
40,28,4,9.0,4,12,3,0.0,0.0,48.0,39,4,1,False
41,27,4,10.0,4,7,3,0.0,0.0,40.0,39,4,1,False
42,62,4,10.0,0,4,0,0.0,0.0,40.0,39,4,0,False
43,27,4,13.0,4,13,3,0.0,0.0,40.0,39,4,1,False
44,18,4,7.0,4,6,3,0.0,0.0,15.0,39,4,1,False
45,29,4,10.0,5,9,0,0.0,0.0,30.0,13,4,0,False
46,27,7,12.0,4,4,0,0.0,0.0,58.0,39,4,0,False
47,27,4,8.0,4,8,0,0.0,0.0,40.0,39,4,1,False
48,32,4,12.0,0,7,0,0.0,0.0,50.0,39,4,0,False
49,37,4,9.0,4,6,1,3887.0,0.0,40.0,27,4,0,False
50,38,4,13.0,4,12,1,0.0,0.0,45.0,39,4,0,False
51,64,6,14.0,0,10,0,0.0,0.0,50.0,39,4,1,False
52,35,4,11.0,2,4,4,7298.0,0.0,50.0,39,4,1,True
53,25,4,13.0,4,10,3,0.0,0.0,55.0,39,2,0,False
54,46,4,13.0,2,4,4,15024.0,0.0,60.0,39,4,1,True
55,20,0,10.0,4,0,0,0.0,0.0,20.0,39,2,0,False
56,37,4,9.0,0,3,0,0.0,0.0,40.0,39,4,1,False
57,32,6,9.0,2,14,4,0.0,1887.0,60.0,39,4,1,True
58,48,1,13.0,2,1,5,7688.0,0.0,40.0,39,4,0,True
59,23,4,9.0,4,1,3,0.0,0.0,35.0,39,4,0,False
60,34,2,13.0,2,10,4,0.0,0.0,60.0,39,4,1,False
61,39,4,9.0,2,1,4,0.0,0.0,40.0,39,4,1,True
62,30,4,9.0,2,3,4,0.0,0.0,40.0,39,4,1,False
63,28,2,11.0,2,10,5,7688.0,0.0,36.0,39,4,0,True
64,39,1,9.0,2,1,5,0.0,0.0,40.0,39,4,0,True
65,34,4,13.0,2,4,4,0.0,0.0,70.0,39,4,1,False
66,32,4,3.0,2,7,4,0.0,0.0,40.0,26,0,1,False
67,60,4,9.0,2,7,4,7688.0,0.0,40.0,39,4,1,True
68,31,6,9.0,4,12,0,0.0,0.0,40.0,0,2,1,False
69,30,0,7.0,4,0,1,0.0,0.0,40.0,39,4,1,False
70,62,4,9.0,2,14,4,0.0,0.0,40.0,39,4,1,True
71,34,4,7.0,3,3,0,0.0,0.0,55.0,39,2,1,False
72,25,4,15.0,4,10,0,0.0,0.0,30.0,39,4,0,False
73,46,2,14.0,0,10,1,0.0,0.0,43.0,39,4,0,False
74,39,4,12.0,2,1,4,0.0,0.0,40.0,39,4,1,False
75,35,4,9.0,4,14,3,0.0,0.0,60.0,39,1,1,False
76,34,2,10.0,2,3,4,0.0,1740.0,40.0,39,4,1,False
77,57,4,13.0,2,4,4,0.0,0.0,40.0,0,4,1,True
78,54,4,13.0,2,12,4,0.0,0.0,40.0,39,4,1,True
79,20,4,9.0,4,1,3,0.0,0.0,40.0,39,4,0,False
80,36,4,9.0,2,3,4,3103.0,0.0,40.0,39,4,1,True
81,53,4,9.0,2,12,4,0.0,0.0,40.0,39,4,1,True
82,35,4,9.0,3,1,1,0.0,0.0,40.0,39,2,0,False
83,51,4,9.0,6,10,1,0.0,0.0,40.0,39,4,0,False
84,21,4,13.0,4,6,0,0.0,0.0,40.0,39,4,1,False
85,81,6,9.0,2,4,4,0.0,0.0,30.0,39,4,1,False
86,18,4,3.0,4,6,3,0.0,0.0,40.0,39,4,1,False
87,18,4,9.0,4,12,3,0.0,0.0,20.0,39,4,0,False
88,41,4,16.0,2,4,4,15024.0,0.0,50.0,2,4,1,True
89,41,4,13.0,2,4,4,0.0,0.0,40.0,0,4,1,True
90,22,0,10.0,4,0,3,0.0,0.0,40.0,39,4,1,False
91,38,4,10.0,2,12,4,0.0,0.0,60.0,39,4,1,False
92,57,6,14.0,4,5,0,0.0,0.0,20.0,39,4,1,False
93,28,4,9.0,5,3,0,0.0,1974.0,40.0,39,4,1,False
94,32,4,9.0,2,12,4,7298.0,0.0,40.0,39,4,1,True
